Character;speech
hagrid;closer, le, talking, mind, real, treat, today, great, lesson, follow, right, lot, le, chattering, form, group, open, book, page, stroke, spine, course, goodness, ron, hippogriff, first, thing, wan, na, proud, creature, easily, offended, want, insult, hippogriff, may, last, thing, ever, like, say, hello, well, done, harry, well, done, let, make, first, move, polite, step, give, nice, bow, wait, bow, back, doe, touch, well, later, make, bow, nice, low, back, harry, back, keep, still, keep, still, well, done, harry, well, done, big, brute, right, think, pat, shy, nice, slow, nice, slow, slow, fast, harry, slow, harry, nice, slow, let, slowly, slowly, slowly, well, done, well, done, harry, well, done, think, may, let, ride, put, behind, wing, joint, pull, feather, wo, thank, well, done, harry, well, done, buckbeak, well, done, well, done, first, day, malfoy, buckbeak, whoa, whoa, whoa, whoa, buckbeak, away, silly, creature, calm, scratch, teacher, class, dismissed, allow, minister, sorry, well, first, committee, member, took, turn, talking, piece, said, buckbeak, good, hippogriff, always, cleaned, feather, lucius, malfoy, well, imagine, said, buckbeak, deadly, dangerous, creature, would, kill, soon, look, asked, worst, old, lucius, sacked, buckbeak, sentenced, death, look, love, smell, tree, wind, blow, dumbledore, would, trouble, coming, dumbledore, say, want, happens, great, man, dumbledore, great, man, thing, think, want, seeing, something, like, drink, tea, oh, ron, keep, closer, eye, pet, blimey, oh, crikey, late, nearly, dark, someone, outside, time, night, trouble, particularly, harry, moment, quick, quick, professor, dumbledore, minister, make, way, tea, like, gentleman, dear, dear, buckbeak, mean, harm, keep, closer, eye, pet, buckbeak, right, find, small, glass, house, professor
harry;lumos, maximum, lumos, maximum, lumos, maximum, lumos, maximum, uncle, vernon, need, sign, form, nothing, school, stuff, doe, okay, oh, yeah, yeah, beaten, load, time, lie, dad, drunk, shut, shut, deserved, keep, away, yeah, try, care, anywhere, better, fell, purpose, nothing, leaky, cauldron, london, muggles, ca, u, man, escape, yeah, heard, hedwig, thank, minister, understand, broke, law, underage, wizard, ca, use, magic, home, state, thing, sir, sirius, black, mean, hedwig, egypt, like, weasley, good, upstairs, everything, thank, weasley, yeah, sure, yeah, great, anything, sirius, black, sir, escaped, azkaban, voldemort, sorry, kill, weasley, would, looking, someone, want, kill, mean, blow, lost, control, lucky, arrested, actually, think, really, asleep, ta, tell, something, yeah, thanks, ron, maybe, broken, thank, thing, came, happened, either, two, pas, someone, screaming, woman, find, fortuna, major, fortuna, major, thank, still, three, year, ca, even, sing, hey, man, shut, malfoy, hey, hey, hey, brilliant, professor, least, hagrid, fired, thought, signed, could, forget, guy, later, professor, ask, something, think, voldemort, first, remembered, night, train, dementor, fainted, heard, something, woman, screaming, think, mother, night, murdered, haunted, building, britain, going, excuse, sir, professor, lupin, quidditch, tomorrow, probably, right, sight, better, normally, doe, oh, brilliant, happened, really, meant, match, professor, dementors, affect, mean, everyone, else, scared, professor, need, fight, could, teach, made, one, train, away, made, away, guy, let, trying, hogsmeade, let, guy, rubbish, moony, wormtail, padfoot, prong, proud, present, marauder, map, hang, hogwarts, really, mean, map, show, everyone, brilliant, friend, betrayed, friend, hope, find, doe, gon, na, ready, doe, gon, na, kill, sure, expecto, patronum, shall, wand, ready, expecto, patronum, expecto, expecto, expect, one, nasty, dementor, first, time, rode, broom, another, happy, exactly, well, happiest, ever, felt, complicated, expecto, patronum, expecto, patronum, think, enough, today, thinking, mum, seeing, face, talking, talking, memory, chose, even, real, best, ripped, piece, talking, tell, spider, sorry, mischief, managed, nox, sleepwalking, dad, strut, mind, would, appreciate, could, lower, wand, spare, bit, parchment, moony, wormtail, padfoot, prong, offer, compliment, professor, snape, request, keep, large, nose, people, business, sir, sir, professor, think, map, always, work, earlier, showed, someone, castle, someone, dead, peter, pettigrew, saw, good, night, professor, hang, better, take, back, fine, later, professor, trelawney, sorry, nothing, set, free, hagrid, hagrid, fine, okay, oh, ron, wait, good, ron, run, ron, ron, wait, ron, ron, ron, move, worry, hunch, hope, wrong, ron, dog, , betrayed, parent, reason, dead, expelliarmus, tell, peter, pettigrew, dead, killed, map, lying, could, find, pettigrew, show, give, ron, , take, castle, said, take, castle, dementors, okay, worry, okay, fine, stay, okay, think, dad, would, wanted, best, friend, become, killer, besides, dead, truth, dy, alive, free, live, expelliarmus, sirius, sirius, sirius, expecto, patronum, saw, dad, sent, dementors, away, saw, across, lake, gon, na, kill, true, sir, sirius, innocent, happened, ron, going, hagrid, hermione, hermione, hermione, wait, hermione, please, tell, u, normal, mean, gone, back, time, good, punch, hagrid, look, buckbeak, still, alive, better, hurry, pettigrew, hermione, betrayed, parent, expect, sit, mad, hurt, away, okay, buckbeak, quickly, u, buckbeak, okay, quickly, hurry, okay, hurry, buckbeak, okay, way, way, way, , wait, yeah, hermione, lake, sirius, someone, someone, made, dementors, away, dad, dad, conjured, patronus, dead, telling, saw, sirius, talking, asking, live, free, never, back, dursleys, could, live, country, someplace, sky, like, year, azkaban, let, thanks, great, coming, u, poor, professor, lupin, really, tough, night, sirius, worry, dad, conjure, patronus, minute, right, worry, sirius, expecto, patronum, right, hermione, dad, saw, earlier, saw, conjuring, patronus, knew, could, time, well, already, done, doe, make, sense, want, innocent, mother, eye, free, honestly, ron, somebody, two, place, sacked, resigned, dumbledore, none, made, difference, pettigrew, escaped, talking, sent, lumos, solemnly, swear, good, mischief, managed, nox
hermione;cat, ronald, expect, nature, rich, coming, owner, smelly, old, shoe, brush, crookshanks, ignore, mean, little, boy, harry, egyptian, used, worship, cat, good, morning, weasley, honestly, ron, funny, harry, lucky, expelled, everywhere, else, full, professor, lupin, suitcase, ronald, seems, catch, black, wo, mean, everyone, looking, stopping, ca, yet, ouch, ron, foot, harry, harry, right, one, screaming, harry, course, knew, give, chocolate, harry, forget, awful, load, rubbish, time, oh, honestly, ron, ask, divination, woolly, discipline, ancient, rune, fascinating, subject, fair, silly, could, anyone, two, class, broaden, mind, use, inner, eye, future, think, funny, ignore, dah, beautiful, say, hello, buckbeak, wicked, harry, hagrid, taken, hospital, hear, draco, father, furious, heard, end, dufftown, far, one, boggarts, take, shape, whatever, person, fear, make, funny, ron, sir, learned, red, cap, hinkypunks, meant, start, week, please, sir, animagus, wizard, elect, turn, animal, werewolf, choice, full, moon, longer, remembers, kill, best, friend, furthermore, werewolf, responds, call, kind, harry, harry, feeling, one, blame, harry, dementors, supposed, ground, dumbledore, furious, saved, sent, meant, haunted, building, britain, mention, want, move, bit, closer, shrieking, shack, hope, mean, harry, wo, keep, turn, professor, mcgonagall, look, madam, rosmerta, ron, fancy, harry, rude, ron, look, sorry, sorry, excuse, excuse, harry, happened, beautiful, day, ronald, lost, rat, rubbish, well, maybe, learn, take, better, care, pet, , hagrid, hearing, mind, trying, grim, possibly, ca, believe, going, kill, buckbeak, horrible, foul, loathsome, evil, little, cockroach, felt, good, stay, think, owe, someone, apology, meant, thought, saw, never, mind, ron, ron, harry, realize, tree, ron, ron, duck, harry, oh, sorry, suppose, shrieking, shack, ron, okay, want, kill, harry, kill, u, trusted, time, friend, werewolf, missing, class, since, professor, snape, set, essay, attacked, teacher, stay, look, really, painful, sure, madam, pomfrey, fix, heartbeat, harry, harry, wait, wait, professor, professor, lupin, harry, listen, harry, captured, sirius, minute, dementors, gon, na, perform, kiss, worse, much, worse, going, suck, soul, headmaster, stop, wrong, man, point, truth, please, believe, u, sorry, ron, seeing, ca, walk, ca, seen, foul, loathsome, evil, little, cockroach, harry, mcgonagall, gave, first, term, getting, lesson, year, dumbledore, obviously, wanted, u, return, moment, clearly, something, happened, want, u, change, thanks, malfoy, coming, felt, good, course, remember, dumbledore, said, succeed, one, innocent, life, could, spared, let, fudge, buckbeak, steal, otherwise, think, hagrid, set, free, harry, ca, must, harry, hagrid, hut, bursting, think, gone, mad, awful, thing, happen, wizard, meddle, time, harry, ca, seen, fudge, coming, leaving, leaving, sorry, coming, back, door, really, hair, look, like, back, thought, never, mind, okay, harry, keep, trying, quickly, buckbeak, nice, dead, ferret, beaky, buckbeak, buckbeak, save, sirius, idea, look, lupin, snape, coming, wait, least, someone, enjoying, yeah, patronus, heard, snape, telling, dumbledore, according, really, powerful, wizard, could, conjured, harry, dad, great, harry, saving, life, yeah, think, run, scary, horrible, harry, listen, one, coming, dying, harry, like, flying, bombarda, talking, harry, came, fast, harry
housekeeper;housekeeping, back, later
lupin;eat, help, right, chocolate, dementor, one, guard, azkaban, gone, searching, train, sirius, black, excuse, need, little, word, driver, eat, feel, better, intriguing, would, anyone, like, venture, guess, inside, good, thomas, anybody, tell, boggart, look, like, terrifying, luckily, simple, charm, exists, repel, boggart, let, practice, without, wand, please, riddikulus, good, little, louder, clear, listen, riddikulus, good, much, easy, part, incantation, alone, enough, really, finish, boggart, laughter, need, force, assume, shape, find, truly, amusing, let, explain, neville, would, join, please, shy, hello, neville, frightens, sorry, professor, snape, frightens, live, grandmother, wo, want, picture, clothes, clothes, clearly, mind, need, hear, long, open, wardrobe, want, excuse, imagine, professor, snape, grandmother, clothes, wand, ready, one, two, three, think, neville, think, wonderful, neville, wonderful, incredible, okay, back, neville, everyone, form, line, form, line, want, everyone, picture, thing, fear, turn, something, funny, next, ron, concentrate, face, fear, brave, wand, ready, ron, good, good, marvelous, absolutely, enjoyable, parvati, next, show, u, keep, nerve, steady, next, step, step, wonderful, wonderful, riddikulus, right, sorry, enough, today, collect, book, back, end, lesson, thank, sorry, sorry, much, good, thing, want, stopped, facing, boggart, thought, obvious, assumed, would, take, shape, lord, voldemort, impressed, suggests, fear, fear, wise, dementors, force, u, relive, worst, memory, pain, becomes, power, first, time, saw, harry, recognized, immediately, scar, eye, mother, lily, oh, knew, mother, time, one, else, singularly, gifted, witch, also, uncommonly, kind, woman, way, seeing, beauty, others, even, especially, person, could, father, james, hand, certain, shall, say, talent, trouble, talent, rumor, passed, like, harry, time, much, sorry, hear, broomstick, chance, fixing, listen, dementors, foulest, creature, walk, earth, feed, every, good, feeling, every, happy, memory, person, left, absolutely, nothing, worst, experience, weak, harry, dementors, affect, true, horror, past, horror, classmate, scarcely, imagine, nothing, ashamed, well, consider, fool, one, night, pretend, expert, harry, dementors, seem, developed, interest, perhaps, teach, holiday, need, rest, harry, came, sure, harry, advanced, magic, well, beyond, ordinary, wizarding, level, well, everything, prepared, spell, going, try, yo, teach, called, patronus, charm, ever, hear, well, patronus, positive, force, wizard, conjures, one, work, like, shield, dementor, feeding, rather, order, work, need, think, memory, memory, happy, memory, powerful, memory, well, close, eye, concentrate, explore, past, memory, allow, fill, lose, within, speak, incantation, expecto, patronum, good, sit, deep, breath, right, expect, first, time, would, remarkable, eat, feel, better, oh, boggart, harry, boggart, real, thing, would, worse, much, much, worse, matter, interest, thinking, memory, choose, good, enough, nearly, good, enough, strong, let, give, try, feel, ready, well, done, harry, well, done, sit, eat, help, really, help, harry, think, given, father, run, money, saying, something, professor, harry, right, seriously, doubt, severus, look, though, parchment, designed, insult, anyone, try, read, suspect, zonko, product, nevertheless, shall, investigate, hidden, quality, may, posse, say, area, expertise, harry, would, please, professor, good, night, faintest, idea, map, came, possession, quite, frankly, astounded, hand, never, occur, hand, sirius, black, map, father, never, set, much, store, rule, either, mother, gave, life, save, gambling, sacrifice, wandering, castle, unprotected, killer, loose, seems, poor, way, repay, cover, hear, want, return, dormitory, stay, take, detour, shall, oh, really, might, possible, expelliarmus, well, well, sirius, looking, rather, ragged, finally, flesh, reflects, madness, within, understand, long, known, well, hermione, brightest, witch, age, ever, met, wait, well, kill, wait, one, minute, harry, right, somebody, betray, parent, somebody, quite, recently, believed, dead, severus, severus, fool, sirius, quiet, severus, please, school, u, thought, friend, thought, mentioned, pettigrew, map, sold, james, lily, voldemort, harry, man, away, immobulus, hello, harry, saw, coming, looked, worse, believe, resigned, actually, well, seems, somebody, let, slip, nature, condition, time, tomorrow, owl, start, arriving, parent, want, well, someone, like, teaching, child, dumbledore, already, risked, enough, behalf, besides, people, like, well, let, say, used, look, miserable, harry, make, difference, harry, made, difference, world, uncovered, truth, saved, innocent, man, terrible, fate, made, great, deal, difference, proud, anything, much, learned, year, since, longer, teacher, feel, guilt, whatsoever, giving, back, say, goodbye, harry, feel, sure, meet, sometime, mischief, managed
madam rosmerta;lot, better, ministry, sending, dementors, pub, every, night, sirius, black, hogsmeade, would, bring, harry, potter, nobody, pub, scared, wit, tell, peter, pettigrew, remember, never, let, james, sirius, sight, happened, believe, could, worse, peter, pettigrew
man;last, call, hogsmeade, 
mcgonagall;remember, visit, hogsmeade, village, privilege, behavior, reflect, poorly, school, privilege, shall, extended, permission, form, signed, visiting, village, rule, potter, ca, parent, guardian, sign, since, neither, would, inappropriate, sorry, potter, final, word, cornelius, professor, dumbledore, doe, want, dementors, around, place, year, ago, harry, potter, parent, realized, marked, death, remember, hid, knew, one, sirius, black, told, little, lump, boy, always, trailing, black, peter, tried, warn, potter, might, run, old, friend, sirius, black, sirius, black, may, put, hand, potter, reason, dead, sirius, black, remains, day, harry, potter, godfather, little, lump, boy, always, trailing, sirius, black
mr. weasley;harry, potter, harry, wonder, might, word, hermione, looking, forward, new, term, harry, within, ministry, would, strongly, discourage, divulging, reveal, think, need, fact, danger, grave, danger, sirius, black, harry, thirteen, year, ago, stopped, say, name, stopped, black, lost, everything, day, still, remains, faithful, servant, mind, thing, stand, way, returning, power, escaped, azkaban, find, harry, swear, whatever, might, hear, wo, looking, black
mrs. weasley;harry, good, dear, everything, book, clothes, good, boy, quick, quick, ron, ron, oh, goodness, sake, lose
